pane,fragment,Rep,mfr,element,ppm
AA,4,1,A,Na,102400
AA,4,1,A,Nd,3.59
AA,4,1,A,Pb,1.118
AA,4,1,A,Rb,2.31
AA,4,1,A,Sr,32.97
AA,4,1,A,Ti,180.6
AA,4,1,A,Zr,51.4
AA,4,2,A,Al,2992
AA,4,2,A,Ba,11.62
AA,4,2,A,Ca,65820
AA,4,2,A,Ce,9.84
AA,4,2,A,Fe,665
AA,4,2,A,Hf,1.3
AA,4,2,A,K,1276
AA,4,2,A,La,4.46
AA,4,2,A,Li,1.87
AA,4,2,A,Mg,23580
AA,4,2,A,Mn,18.56
AA,4,2,A,Na,102280
AA,4,2,A,Nd,3.78
AA,4,2,A,Pb,1.17
AA,4,2,A,Rb,2.1
AA,4,2,A,Sr,32.86
AA,4,2,A,Ti,185.2
AA,4,2,A,Zr,49.22
AA,4,3,A,Al,2964
AA,4,3,A,Ba,11.01
AA,4,3,A,Ca,65300
AA,4,3,A,Ce,9.97
AA,4,3,A,Fe,674
AA,4,3,A,Hf,1.256
AA,4,3,A,K,1268
AA,4,3,A,La,4.47
AA,4,3,A,Li,2.44
AA,4,3,A,Mg,23480
AA,4,3,A,Mn,18.48
AA,4,3,A,Na,102800
AA,4,3,A,Nd,3.61
AA,4,3,A,Pb,1.091
AA,4,3,A,Rb,2.28
AA,4,3,A,Sr,32.96
AA,4,3,A,Ti,184.2
AA,4,3,A,Zr,51.1
AA,4,4,A,Al,2970
AA,4,4,A,Ba,11.26
AA,4,4,A,Ca,65350
AA,4,4,A,Ce,9.86
AA,4,4,A,Fe,685
AA,4,4,A,Hf,1.31
AA,4,4,A,K,1285
AA,4,4,A,La,4.58
AA,4,4,A,Li,2.02
AA,4,4,A,Mg,23610
AA,4,4,A,Mn,18.19
AA,4,4,A,Na,103510
AA,4,4,A,Nd,3.92
AA,4,4,A,Pb,1.142
AA,4,4,A,Rb,2.14
AA,4,4,A,Sr,32.71
AA,4,4,A,Ti,180.1
AA,4,4,A,Zr,50.5
AA,4,5,A,Al,2960
AA,4,5,A,Ba,11.09
AA,4,5,A,Ca,65500
AA,4,5,A,Ce,9.59
AA,4,5,A,Fe,679
AA,4,5,A,Hf,1.259
AA,4,5,A,K,1282
AA,4,5,A,La,4.19
AA,4,5,A,Li,1.98
AA,4,5,A,Mg,23510
AA,4,5,A,Mn,18.18
AA,4,5,A,Na,103250
AA,4,5,A,Nd,3.56
AA,4,5,A,Pb,1.097
AA,4,5,A,Rb,2.11
AA,4,5,A,Sr,32.29
AA,4,5,A,Ti,175.8
AA,4,5,A,Zr,50
AA,4,6,A,Al,2968
AA,4,6,A,Ba,11.56
AA,4,6,A,Ca,65330
AA,4,6,A,Ce,9.61
AA,4,6,A,Fe,676
AA,4,6,A,Hf,1.275
AA,4,6,A,K,1267
AA,4,6,A,La,4.48
AA,4,6,A,Li,1.79
AA,4,6,A,Mg,23520
AA,4,6,A,Mn,18.44
AA,4,6,A,Na,102300
AA,4,6,A,Nd,3.83
AA,4,6,A,Pb,1.118
AA,4,6,A,Rb,2.17
AA,4,6,A,Sr,32.84
AA,4,6,A,Ti,180.4
AA,4,6,A,Zr,49.4
AA,4,7,A,Al,2984
AA,4,7,A,Ba,11.42
AA,4,7,A,Ca,66060
AA,4,7,A,Ce,9.53
AA,4,7,A,Fe,682
AA,4,7,A,Hf,1.29
AA,4,7,A,K,1283
AA,4,7,A,La,4.49
AA,4,7,A,Li,2.1
AA,4,7,A,Mg,23580
AA,4,7,A,Mn,18.14
AA,4,7,A,Na,102850
AA,4,7,A,Nd,3.49
AA,4,7,A,Pb,1.177
AA,4,7,A,Rb,2.06
AA,4,7,A,Sr,32.72
AA,4,7,A,Ti,177.7
AA,4,7,A,Zr,50.73
AA,4,8,A,Al,2986
AA,4,8,A,Ba,11.19
AA,4,8,A,Ca,65630
AA,4,8,A,Ce,9.79
AA,4,8,A,Fe,681
AA,4,8,A,Hf,1.245
AA,4,8,A,K,1277
AA,4,8,A,La,4.47
AA,4,8,A,Li,2.28
AA,4,8,A,Mg,23630
AA,4,8,A,Mn,18.76
AA,4,8,A,Na,102920
AA,4,8,A,Nd,3.77
AA,4,8,A,Pb,1.063
AA,4,8,A,Rb,2.17
AA,4,8,A,Sr,33.39
AA,4,8,A,Ti,183.9
AA,4,8,A,Zr,49.5
AA,4,9,A,Al,2971
AA,4,9,A,Ba,11.7
AA,4,9,A,Ca,65510
AA,4,9,A,Ce,9.84
AA,4,9,A,Fe,674
AA,4,9,A,Hf,1.36
AA,4,9,A,K,1292
AA,4,9,A,La,4.45
AA,4,9,A,Li,2.36
AA,4,9,A,Mg,23590
AA,4,9,A,Mn,18.63
AA,4,9,A,Na,103200
AA,4,9,A,Nd,3.65
AA,4,9,A,Pb,1.101
AA,4,9,A,Rb,2.32
AA,4,9,A,Sr,32.71
AA,4,9,A,Ti,180.5
AA,4,9,A,Zr,50.6
AA,4,10,A,Al,2941
AA,4,10,A,Ba,11.02
AA,4,10,A,Ca,65100
AA,4,10,A,Ce,9.88
AA,4,10,A,Fe,694
AA,4,10,A,Hf,1.315
AA,4,10,A,K,1284
AA,4,10,A,La,4.62
AA,4,10,A,Li,2.53
AA,4,10,A,Mg,23500
AA,4,10,A,Mn,18.36
AA,4,10,A,Na,102640
AA,4,10,A,Nd,3.84
AA,4,10,A,Pb,1.077
AA,4,10,A,Rb,2
AA,4,10,A,Sr,32.62
AA,4,10,A,Ti,189.3
AA,4,10,A,Zr,48.16
AA,4,11,A,Al,3036
AA,4,11,A,Ba,11.45
AA,4,11,A,Ca,66160
AA,4,11,A,Ce,9.37
AA,4,11,A,Fe,687
AA,4,11,A,Hf,1.42
