"","x","y"
"917",218,565
"918",218,562
"919",218,551
"920",218,541
"921",218,504
"922",218,467
"923",218,464
"924",218,461
"925",218,459
"926",218,456
"927",218,453
"928",218,450
"929",218,448
"930",218,445
"931",218,442
"932",218,439
"933",218,436
"934",218,433
"935",218,430
"936",218,428
"937",218,425
"938",218,423
"939",218,420
"940",218,416
"941",218,378
"942",218,377
"943",218,359
"944",218,345
"945",218,313
"946",218,300
"947",218,278
"948",218,251
"949",218,214
"950",218,213
"951",218,212
"952",218,211
"953",218,210
"954",218,199
"955",218,198
"956",218,197
"958",217,623
"959",217,622
"960",217,607
"961",217,590
"962",217,589
"963",217,565
"964",217,562
"965",217,551
"966",217,541
"967",217,504
"968",217,466
"969",217,465
"970",217,462
"971",217,459
"972",217,456
"973",217,453
"974",217,451
"975",217,448
"976",217,445
"977",217,442
"978",217,440
"979",217,437
"980",217,434
"981",217,431
"982",217,428
"983",217,425
"984",217,423
"985",217,420
"986",217,418
"987",217,416
"988",217,403
"989",217,402
"990",217,376
"991",217,359
"992",217,344
"993",217,312
"994",217,300
"995",217,277
"996",217,250
"997",217,249
"998",217,248
"999",217,221
"1000",217,220
"1001",217,219
"1002",217,218
"1003",217,217
"1004",217,216
"1005",217,215
"1006",217,204
"1007",217,203
"1008",217,202
"1009",217,201
"1010",217,200
"1017",216,624
"1018",216,607
"1019",216,588
"1020",216,564
"1021",216,561
"1022",216,551
"1023",216,541
"1024",216,504
"1025",216,463
"1026",216,460
"1027",216,457
"1028",216,454
"1029",216,451
"1030",216,449
"1031",216,446
"1032",216,443
"1033",216,440
"1034",216,437
"1035",216,434
"1036",216,431
"1037",216,429
"1038",216,426
"1039",216,424
"1040",216,421
"1041",216,419
"1042",216,417
"1043",216,404
"1044",216,402
"1045",216,399
"1046",216,398
"1047",216,397
"1048",216,375
"1049",216,359
"1050",216,344
"1051",216,312
"1052",216,300
"1053",216,276
"1054",216,275
"1055",216,247
"1056",216,241
"1057",216,225
"1058",216,224
"1059",216,223
"1060",216,222
"1061",216,212
"1062",216,211
"1063",216,210
"1064",216,209
"1065",216,208
"1066",216,207
"1067",216,206
"1068",216,205
"1069",216,182
"1070",216,181
"1073",215,626
"1074",215,625
"1075",215,607
"1076",215,587
"1077",215,586
"1078",215,564
"1079",215,561
"1080",215,552
"1081",215,542
"1082",215,505
"1083",215,463
"1084",215,460
"1085",215,457
"1086",215,455
"1087",215,452
"1088",215,449
"1089",215,446
"1090",215,443
"1091",215,441
"1092",215,438
"1093",215,435
"1094",215,432
"1095",215,429
"1096",215,426
"1097",215,424
"1098",215,421
"1099",215,419
"1100",215,417
"1101",215,410
"1102",215,408
"1103",215,405
"1104",215,402
"1105",215,399
"1106",215,396
"1107",215,395
"1108",215,374
"1109",215,373
"1110",215,359
"1111",215,344
"1112",215,312
"1113",215,299
"1114",215,274
"1115",215,246
"1116",215,242
"1117",215,240
"1118",215,239
"1119",215,221
"1120",215,220
"1121",215,219
"1122",215,218
"1123",215,217
"1124",215,216
"1125",215,215
"1126",215,214
"1127",215,213
"1128",215,187
"1129",215,186
"1130",215,185
"1131",215,184
"1132",215,183
"1133",214,628
"1134",214,627
"1135",214,607
"1136",214,585
"1137",214,563
"1138",214,561
"1139",214,552
"1140",214,542
"1141",214,505
"1142",214,463
"1143",214,461
"1144",214,458
"1145",214,455
"1146",214,452
"1147",214,450
"1148",214,447
"1149",214,444
"1150",214,441
"1151",214,438
"1152",214,435
"1153",214,432
"1154",214,430
"1155",214,427
"1156",214,424
"1157",214,422
"1158",214,420
"1159",214,418
"1160",214,410
"1161",214,408
"1162",214,405
"1163",214,403
"1164",214,398
"1165",214,394
"1166",214,393
"1167",214,372
"1168",214,371
"1169",214,358
"1170",214,344
"1171",214,312
"1172",214,299
"1173",214,273
"1174",214,245
"1175",214,241
"1176",214,238
"1177",214,237
"1178",214,224
"1179",214,223
"1180",214,222
"1181",214,193
"1182",214,192
"1183",214,191
"1184",214,190
"1185",214,189
"1186",214,188
"1187",213,629
"1188",213,608
"1189",213,596
"1190",213,584
"1191",213,583
"1192",213,563
"1193",213,560
"1194",213,552
"1195",213,542
"1196",213,505
"1197",213,464
"1198",213,461
"1199",213,458
"1200",213,456
"1201",213,453
"1202",213,450
"1203",213,447
"1204",213,444
"1205",213,442
"1206",213,439
"1207",213,436
"1208",213,433
"1209",213,430
"1210",213,428
"1211",213,425
"1212",213,422
"1213",213,420
"1214",213,418
"1215",213,410
"1216",213,408
"1217",213,405
"1218",213,401
"1219",213,397
"1220",213,396
"1221",213,392
"1222",213,370
"1223",213,358
"1224",213,343
"1225",213,311
"1226",213,299
"1227",213,272
"1228",213,245
"1229",213,241
"1230",213,238
"1231",213,202
"1232",213,201
"1233",213,200
"1234",213,199
"1235",213,198
"1236",213,197
"1237",213,196
"1238",213,195
"1239",213,194
"1240",212,630
"1241",212,608
"1242",212,597
"1243",212,595
"1244",212,594
"1245",212,582
"1246",212,562
"1247",212,560
"1248",212,552
"1249",212,542
"1250",212,505
"1251",212,465
"1252",212,462
"1253",212,459
"1254",212,456
"1255",212,453
"1256",212,451
"1257",212,448
"1258",212,445
"1259",212,442
"1260",212,439
"1261",212,436
"1262",212,434
"1263",212,431
"1264",212,428
"1265",212,426
"1266",212,423
"1267",212,420
"1268",212,418
"1269",212,410
"1270",212,408
"1271",212,404
"1272",212,403
"1273",212,400
"1274",212,399
"1275",212,395
"1276",212,392
"1277",212,369
"1278",212,357
"1279",212,343
"1280",212,311
"1281",212,298
"1282",212,271
"1283",212,244
"1284",212,240
"1285",212,239
"1286",212,238
